mean_overlapping_bboxes,class_acc,val_class_acc,loss_rpn_cls,loss_rpn_regr,val_loss_rpn_cls,val_loss_rpn_regr,loss_class_cls,loss_class_regr,val_loss_class_cls,val_loss_class_regr,curr_loss,val_curr_loss,elapsed_time,mAP
15.208,0.63,0.662,1.236,0.172,1.433,0.177,0.6409999999999999,0.395,0.613,0.392,2.443,2.615,11.207,0.0
15.664000000000001,0.696,0.701,1.246,0.16899999999999998,1.524,0.16899999999999998,0.5820000000000001,0.365,0.573,0.34299999999999997,2.362,2.609,10.162,0.0
15.298,0.722,0.7190000000000001,1.057,0.16899999999999998,1.351,0.17,0.555,0.348,0.5529999999999999,0.344,2.129,2.418,9.882,0.0
16.48,0.6779999999999999,0.701,1.194,0.162,1.6119999999999999,0.155,0.61,0.397,0.591,0.37799999999999995,2.362,2.737,9.752,0.0
15.838,0.726,0.706,1.248,0.159,1.62,0.16699999999999998,0.5579999999999999,0.38799999999999996,0.578,0.364,2.353,2.728,9.721,0.0
16.430999999999997,0.727,0.7140000000000001,1.149,0.14400000000000002,1.496,0.162,0.5529999999999999,0.369,0.58,0.363,2.214,2.6010000000000004,9.772,0.0
16.498,0.746,0.745,1.227,0.152,1.618,0.159,0.534,0.376,0.5379999999999999,0.35600000000000004,2.289,2.6710000000000003,9.618,0.0
16.932000000000002,0.757,0.736,1.236,0.156,1.6980000000000002,0.156,0.517,0.358,0.562,0.34600000000000003,2.2680000000000002,2.762,9.548,0.0
15.754000000000001,0.7609999999999999,0.7440000000000001,1.232,0.165,1.605,0.152,0.504,0.365,0.5479999999999999,0.32899999999999996,2.265,2.634,9.53,0.0
15.919,0.7759999999999999,0.7440000000000001,1.005,0.142,1.6219999999999999,0.166,0.5,0.34299999999999997,0.5579999999999999,0.33799999999999997,1.989,2.6839999999999997,9.421,0.0
16.966,0.805,0.781,1.128,0.151,1.35,0.148,0.433,0.301,0.484,0.309,2.013,2.291,10.473,0.0
18.593,0.805,0.763,1.06,0.143,1.267,0.153,0.435,0.3,0.512,0.316,1.939,2.249,9.861,0.0
18.485,0.819,0.767,0.803,0.146,1.258,0.146,0.409,0.283,0.541,0.323,1.641,2.268,9.561,0.0
19.095,0.827,0.763,0.86,0.146,1.273,0.147,0.398,0.295,0.566,0.308,1.699,2.294,9.646,0.0
19.429,0.828,0.752,0.92,0.124,1.325,0.147,0.401,0.283,0.6,0.312,1.728,2.383,9.576,0.0
18.824,0.839,0.786,0.73,0.116,1.353,0.144,0.38,0.27,0.508,0.287,1.495,2.292,9.599,0.0
19.535,0.827,0.76,0.768,0.127,1.34,0.147,0.388,0.266,0.58,0.311,1.549,2.378,9.439,0.0
20.282,0.828,0.76,0.686,0.117,1.304,0.143,0.399,0.268,0.573,0.301,1.47,2.322,9.514,0.0
18.829,0.857,0.761,0.661,0.103,1.439,0.144,0.339,0.245,0.597,0.308,1.348,2.487,9.369,0.0
20.155,0.847,0.757,0.704,0.113,1.45,0.138,0.368,0.255,0.596,0.306,1.44,2.491,9.529,0.0
